Municipality,Bachelor,1BR,2BR,3BR,4BR
BRUDERHEIM,775,"1,250","1,350","1,566","1,817"
CADOTTE LAKE,666,922,"1,150","1,347","1,562"
CALAHOO,995,"1,185","1,425","1,653",NA
CALGARY*,"1,300","1,560","1,848","1,939","2,249"
Beltline,"1,273","1,560","1,960","2,173",NA
Chinook,"1,725","1,590","1,950","2,180",NA
Downtown Calgary,"1,380","1,600","1,950","2,262",NA
Fish Creek,"1,600","1,700","1,850","2,211",NA
North Hill,"1,350","1,400","1,800","2,200",NA
Northeast Calgary,"1,302","1,550","1,920","2,232",NA
Northwest Calgary,"1,310","1,559","1,701","1,855",NA
Southeast Calgary,"1,375","1,569","1,750","2,030",NA
Southwest Calgary,"1,336","1,590","1,769","2,052",NA
CALLING LAKE,666,922,"1,150","1,347","1,562"
CALMAR,995,"1,185","1,425","1,653",NA
CAMROSE,"1,132","1,348","1,450","1,682","1,951"
CANMORE,"1,415","1,684","2,322","2,694","3,124"
CARDSTON,630,750,"1,000","1,000","1,160"
CARMANGAY,837,877,"1,070","1,265","1,371"
CAROLINE,794,892,"1,031","1,239","1,500"
CARSELAND,794,892,"1,031","1,239","1,500"
CARSTAIRS,672,800,"1,025","1,400","1,624"
CASTOR,794,892,"1,031","1,239","1,500"
CEREAL,794,892,"1,031","1,239","1,500"
CHAMPION,837,877,"1,070","1,265","1,371"
CHAUVIN,794,892,"1,031","1,239","1,500"
CHESTERMERE,"1,159","1,380","1,750","2,030",NA
CHIGWELL,850,950,"1,279","1,395",NA
CHIPEWYAN LAKE,666,922,"1,150","1,347","1,562"
CHIPMAN,807,952,"1,084","1,181","1,500"
CLAIRMONT,"1,010","1,139","1,300","1,422","1,650"
CLARESHOLM,887,"1,200","1,500",975,950
CLIVE,850,950,"1,279","1,395",NA
CLYDE,807,952,"1,084","1,181","1,500"
COALDALE,683,813,975,"1,370","1,850"
COALHURST,"1,050","1,250","1,675","1,964","2,278"
COCHRANE,"1,159","1,380","1,750","2,030",NA
COLD LAKE,966,"1,150","1,250","1,190","1,380"
COLINTON,807,952,"1,084","1,181","1,500"
CONKLIN,666,922,"1,150","1,347","1,562"
CONRICH,"1,159","1,380","1,750","2,030",NA
CONSORT,794,892,"1,031","1,239","1,500"
CORONATION,794,892,"1,031","1,239","1,500"
COUTTS,837,877,"1,070","1,265","1,371"
CREMONA,794,892,"1,031","1,239","1,500"
CROSSFIELD,"1,159","1,380","1,750","2,030",NA
CROWSNEST PASS,480,700,895,"1,300","1,508"
CZAR,794,892,"1,031","1,239","1,500"
DARWELL,807,952,"1,084","1,181","1,500"
DAYSLAND,794,892,"1,031","1,239","1,500"
DE WINTON,"1,159","1,380","1,750","2,030",NA
DELACOUR,"1,159","1,380","1,750","2,030",NA
DELBURNE,794,892,"1,031","1,239","1,500"
DELIA,794,892,"1,031","1,239","1,500"
DERWENT,807,952,"1,084","1,181","1,500"
DEVON,995,"1,185","1,425","1,653",NA
DEWBERRY,807,952,"1,084","1,181","1,500"
DIAMOND CITY,"1,050","1,250","1,675","1,964","2,278"
DIAMOND VALLEY,"1,092","1,300","1,600","1,200","1,392"
DIDSBURY,659,785,"1,500","1,450","1,682"
DONNELLY,666,922,"1,150","1,347","1,562"
DRAYTON VALLEY,825,900,"1,000","1,200","1,392"
DRUMHELLER,800,838,"1,025",750,870
DUCHESS,"1,088","1,200","1,300","1,500","1,740"
DUNMORE,"1,090","1,205","1,150","1,450","1,682"
EAGLESHAM,666,922,"1,150","1,347","1,562"
ECKVILLE,621,739,880,950,"1,102"
EDGERTON,794,892,"1,031","1,239","1,500"
EDMONTON*,"1,038","1,219","1,520","1,666","1,933"
Castledown,900,"1,251","1,461","1,650",NA
Downtown,"1,100","1,290","1,625","1,927",NA
East Central Edmonton,"1,150","1,090","1,338","1,550",NA
Hudson's Bay Reserve,875,"1,050","1,415","1,489",NA
Jasper Place,925,"1,050","1,295","1,450",NA
Millwoods,"1,092","1,300","1,618","1,775",NA
North Central Edmonton,850,"1,095","1,289","1,450",NA
North East Edmonton,969,"1,240","1,417","1,621",NA
South West Edmonton,"1,025","1,299","1,550","1,749",NA
University of Alberta,"1,215","1,200","1,709","1,982",NA
West Central Edmonton,880,"1,035","1,235","1,433",NA
West Jasper Place,"1,095","1,289","1,499","1,701",NA
